sim,method,1,2,3
42,FastICA,0.12897607187087418,0.19175859444763887,0.679265333681487
42,Chol-min,0.014571772126725774,0.04079380590962353,0.12742121537904147
42,Chol-max,0.44581286675620363,0.559667525558964,0.8874318151519515
43,OT-ICA,0.1259110165141542,0.22143572162231398,0.6526532618635318
43,FastICA,0.11891860984653009,0.23040765735261237,0.6506737328008575
43,Chol-min,0.011770091882283824,0.06393647422220887,0.09526271198343306
43,Chol-max,0.4403996502238467,0.6050253137931048,0.8526413628230093
44,OT-ICA,0.14565390285679553,0.32237144168813414,0.5319746554550703
44,FastICA,0.13125446701608273,0.3456194996107545,0.5231260333731628
44,Chol-min,0.006578945227002907,0.10716903143284714,0.08192124046929154
44,Chol-max,0.3964993906725776,0.6583293324438564,0.8083794877374356
45,OT-ICA,0.12360527383904749,0.21376202203862285,0.6626327041223296
45,FastICA,0.11940205162121591,0.199018822563755,0.6815791258150291
45,Chol-min,0.018430211209428303,0.04888474238001386,0.10864646952791421
45,Chol-max,0.47572780723717367,0.568840654674193,0.8609096938541511
46,OT-ICA,0.19970191155133682,0.23192306116809946,0.5683750272805637
46,FastICA,0.20098494829941396,0.23118059083412887,0.5678344608664572
46,Chol-min,0.02281441833063814,0.06526608628567104,0.0837523142055709
46,Chol-max,0.4550123056013521,0.5806463757927963,0.8299870817550551
47,OT-ICA,0.10145779338171965,0.22798940003316634,0.6705528065851141
47,FastICA,0.1056091581908959,0.22915549595072426,0.6652353458583798
47,Chol-min,0.004831693657966898,0.059383532746924546,0.1277698943458791
47,Chol-max,0.3979952536474162,0.5821573879811393,0.8881585280263421
48,OT-ICA,0.09712776125829373,0.25251692168832474,0.6503553170533816
48,FastICA,0.07859827218890109,0.2658450855240362,0.6555566422870628
48,Chol-min,0.0064579065009980705,0.06886429042786497,0.10401482601931594
48,Chol-max,0.3704988489859139,0.6273857241803689,0.8682402015188061
49,OT-ICA,0.09689840814781922,0.24558879988786145,0.6575127919643193
49,FastICA,0.09923198348081858,0.24873365570533756,0.6520343608138438
49,Chol-min,0.007646636560306806,0.06996554826187211,0.10598659333612967
49,Chol-max,0.4074591427349882,0.6139498944139631,0.8597653593181374
50,OT-ICA,0.1457603858109278,0.28539729931980556,0.5688423148692666
50,FastICA,0.13945858638836733,0.29297151103117813,0.5675699025804545
50,Chol-min,0.015290825594712766,0.08392283146304111,0.06639730609851273
50,Chol-max,0.4488641035838122,0.6276443921481726,0.8088839522018302
51,OT-ICA,0.18040903291399263,0.18360187339323641,0.6359890936927709
