err_H,err_A,obs_ok,tgt_acc,precision,recall,f1,shd,amari,rows_changed,obs_rows_changed,regime,d,n,seed,method
0.0036209803513097432,0.025390846718332985,1,1.0,1.0,1.0,1.0,0,0.016269992677666906,1.0,0.0,count_int,4,20000,47,OT-ICA
0.2525045247563182,0.14563436129571566,1,1.0,1.0,1.0,1.0,0,0.027194606616380422,1.0,0.0,count_int,4,20000,47,FastICA
0.0033936061782379777,0.03392582146150127,1,1.0,1.0,1.0,1.0,0,0.014340610463035613,1.0,0.0,count_int,4,20000,48,OT-ICA
0.11061442468866275,0.17380484159332574,1,1.0,1.0,1.0,1.0,0,0.022544243469974745,1.0,0.0,count_int,4,20000,48,FastICA
0.0037609709569669364,0.0352301432580379,1,1.0,1.0,1.0,1.0,0,0.012433018457914119,1.0,0.0,count_int,4,20000,49,OT-ICA
0.13089418989931,0.11020263685255201,1,1.0,1.0,1.0,1.0,0,0.02409378026016871,1.0,0.0,count_int,4,20000,49,FastICA
0.0019759414525795144,0.03636398452005743,1,1.0,1.0,1.0,1.0,0,0.015048429208922414,1.0,0.0,count_int,4,20000,50,OT-ICA
0.09648302019842109,0.09544210354346938,1,1.0,1.0,1.0,1.0,0,0.023946765505425627,1.0,0.0,count_int,4,20000,50,FastICA
0.00307182597092188,0.02075726545308275,1,1.0,1.0,1.0,1.0,0,0.011098650989745851,1.0,0.0,count_int,4,20000,51,OT-ICA
0.12813082617942792,0.08754414838908184,1,1.0,1.0,1.0,1.0,0,0.02074878795526642,1.0,0.0,count_int,4,20000,51,FastICA
0.03235476344722741,0.024084400424334428,1,1.0,1.0,1.0,1.0,0,0.007665604578839092,1.0,0.0,count_all,4,20000,42,OT-ICA
3.0287871770086348,5.610310387334627,0,0.25,0.2,0.6666666666666666,0.30769230769230765,9,0.8147816054827646,2.75,4.0,count_all,4,20000,42,FastICA
0.025769361297294433,0.016012080443239835,1,1.0,1.0,1.0,1.0,0,0.007245104220024517,1.0,0.0,count_all,4,20000,43,OT-ICA
5.7981213577264645,54.400113524546455,0,0.5,0.25,1.0,0.4,9,0.8402267766827001,3.5,1.0,count_all,4,20000,43,FastICA
0.031139335629345306,0.03243177646631766,1,1.0,1.0,1.0,1.0,0,0.007498452181622206,0.75,0.0,count_all,4,20000,44,OT-ICA
4.9272689543068955,36.80574858694388,1,0.25,0.36363636363636365,0.8,0.5000000000000001,8,0.7756987764696399,3.0,4.0,count_all,4,20000,44,FastICA
0.04347439354045267,0.018704790887635346,1,1.0,1.0,1.0,1.0,0,0.008975960115383342,1.0,0.0,count_all,4,20000,45,OT-ICA
3.6766628488126396,2.626812221918714,0,0.5,0.2727272727272727,0.75,0.39999999999999997,9,1.0387592400135794,3.0,2.0,count_all,4,20000,45,FastICA
0.0467753689663715,0.02630859921360245,1,1.0,1.0,1.0,1.0,0,0.00975126782938241,1.0,0.0,count_all,4,20000,46,OT-ICA
3.029590015619507,4.5072006693798485,0,0.25,0.25,1.0,0.4,9,0.7012614590021335,3.25,1.0,count_all,4,20000,46,FastICA
0.06928049435184322,0.04101202445205149,1,1.0,1.0,1.0,1.0,0,0.009031927891642283,1.0,0.0,count_all,4,20000,47,OT-ICA
3.3497700741055025,4.15056554514225,0,0.5,0.3333333333333333,0.75,0.46153846153846156,7,0.780521527630704,2.75,4.0,count_all,4,20000,47,FastICA
0.04132938179049221,0.03151701665740183,1,1.0,1.0,1.0,1.0,0,0.008798952354594231,1.0,0.0,count_all,4,20000,48,OT-ICA
5.133657996093853,3.4348762126235606,0,0.75,0.4,0.8,0.5333333333333333,7,0.8396494196608193,3.0,1.0,count_all,4,20000,48,FastICA
0.027316826128622042,0.024315960454942324,1,1.0,1.0,1.0,1.0,0,0.007197884704423674,1.0,0.0,count_all,4,20000,49,OT-ICA
4.786291856727406,5.491916114361769,0,0.25,0.5,1.0,0.6666666666666666,5,0.9286493850820954,3.0,3.0,count_all,4,20000,49,FastICA
0.022862895367705516,0.012206169489313344,1,1.0,1.0,1.0,1.0,0,0.009579529316386509,1.0,0.0,count_all,4,20000,50,OT-ICA
4.795596638646021,3.5529278263321995,1,0.5,0.25,1.0,0.4,9,0.873069790355393,3.5,2.0,count_all,4,20000,50,FastICA
0.04474683253238972,0.03284114720440318,1,1.0,1.0,1.0,1.0,0,0.0073444152064963296,1.0,0.0,count_all,4,20000,51,OT-ICA
4.409440903760229,1.834086803902972,1,0.25,0.2222222222222222,0.6666666666666666,0.3333333333333333,8,0.9467816010259622,3.0,2.0,count_all,4,20000,51,FastICA
0.004147086553536671,0.01544772226439172,1,1.0,1.0,1.0,1.0,0,0.14989778206158744,2.0,0.0,leak,4,20000,42,OT-ICA
3.7678692180245648,2.215101736158252,1,1.0,1.0,1.0,1.0,0,0.15605820463581774,2.0,0.0,leak,4,20000,42,FastICA
0.0023254695069014203,0.02279059444589903,1,1.0,1.0,1.0,1.0,0,0.14798137668339995,2.0,0.0,leak,4,20000,43,OT-ICA
3.874718401975079,1.2771808257440431,1,1.0,1.0,1.0,1.0,0,0.15635060072037166,2.0,0.0,leak,4,20000,43,FastICA
0.00412328707025888,0.0319438200017916,1,1.0,1.0,1.0,1.0,0,0.1505146434490813,1.75,0.0,leak,4,20000,44,OT-ICA
0.13528240986543705,0.1015614219936931,1,1.0,1.0,1.0,1.0,0,0.15508412931021381,1.75,0.0,leak,4,20000,44,FastICA
0.004725190411030339,0.03742605757291039,1,1.0,1.0,1.0,1.0,0,0.15186252272673895,2.0,0.0,leak,4,20000,45,OT-ICA
0.08954868672992623,0.06923759768245182,1,1.0,1.0,1.0,1.0,0,0.15439089504723777,2.0,0.0,leak,4,20000,45,FastICA
0.004143070236839751,0.019650564149301674,1,1.0,1.0,1.0,1.0,0,0.15008187708508283,2.0,0.0,leak,4,20000,46,OT-ICA
0.1556746649166547,0.11331177879798007,1,1.0,1.0,1.0,1.0,0,0.1606599721423042,2.0,0.0,leak,4,20000,46,FastICA
3.620953353694634,1.4120031661266743,1,0.25,0.5,0.75,0.6,4,0.1492446975507115,2.0,0.0,leak,4,20000,47,OT-ICA
3.632393813736064,1.1365432836917642,0,0.25,0.4,0.5,0.4444444444444445,5,0.16338391448717882,2.0,0.0,leak,4,20000,47,FastICA
0.0029673643354477027,0.028839985515108055,1,1.0,1.0,1.0,1.0,0,0.1487430036640575,2.0,0.0,leak,4,20000,48,OT-ICA
0.12269089593624169,0.1991854256653841,1,1.0,1.0,1.0,1.0,0,0.15252706499496615,2.0,0.0,leak,4,20000,48,FastICA
0.0041526926311914155,0.03366983321614191,1,1.0,1.0,1.0,1.0,0,0.1471321183155361,2.0,0.0,leak,4,20000,49,OT-ICA
0.15476410776701646,0.12293530734466296,1,1.0,1.0,1.0,1.0,0,0.16085140382657484,2.0,0.0,leak,4,20000,49,FastICA
0.0024788762740847593,0.03785168397543409,1,1.0,1.0,1.0,1.0,0,0.1491896970204333,2.0,0.0,leak,4,20000,50,OT-ICA
0.1074354910606332,0.10034173548764753,1,1.0,1.0,1.0,1.0,0,0.16092025476991906,2.0,0.0,leak,4,20000,50,FastICA
0.002708574090228675,0.017181534941174012,1,1.0,1.0,1.0,1.0,0,0.14690533122467267,2.0,0.0,leak,4,20000,51,OT-ICA
0.155651387043925,0.10816958963646911,1,1.0,1.0,1.0,1.0,0,0.15304444631237762,2.0,0.0,leak,4,20000,51,FastICA
